Version,Pool Address,Token_0 Address,Token_1 Address,Fee Tier,Amount of Token_0 in pool,Amount of Token_1 in pool,TVL Token_0 in USD,TVL Token_1 in USD,Pool level price of Token_0 quoted by Token_1,Price of Token_0 from external API,Price of Token_1 from external API

UNI-V2,0xd3d2E2692501A5c9Ca623199D38826e513033a17,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,___BPS___,1602538954119023602324333,6548148678046497007096,locked value token_0,locked value token_1,pool level prive token_0 - token_1,1546.74,6.31

UNI-V3,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,3000,191993620.464602403271504396,1285975.197203692624610285,335024983.1810594,16.63182943571946,46996138942.0119,1546.74,6.31

UNI-V3,0x360b9726186c0f62cc719450685ce70280774dc8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,10000,750028.410569614976562524,5080.495163097674012804,11750993.248713812,0.25956865218140474,183455770.46851125,1546.74,6.31

UNI-V3,0xfaa318479b7755b2dbfdd34dc306cb28b420ad12,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,500,5383261.031052012889516382,26445.626196789597794494,34897193.993225336,0.9781471096359995,1320514032.1593046,1546.74,6.31

